Variable,Mean_0,Median_0,Q1_0,Q3_0,Shapiro_p_0,Mode_0,Mean_1,Median_1,Q1_1,Q3_1,Shapiro_p_1,Mode_1,Levene_p
ATS6s,3647.599907700623,3266.222222222225,2727.5555555555557,4351.234567901234,1.546954286733831e-22,2300.279835390947,3979.270038967187,3835.5000000000014,2943.930555555557,4761.694958847735,6.507863973334357e-17,2403.6111111111118,0.03719620299315525
ATS7s,3989.7698204742187,3605.13888888889,2961.926440329219,4778.291666666666,1.9070127939252753e-21,2583.5277777777783,4346.915081234148,4170.5051440329225,3198.2222222222226,5227.847222222221,1.0232010354243525e-15,2438.666666666665,0.01016694745993245
ATS8s,4866.9335724958055,4345.888888888889,3598.775205761317,5811.59465020576,1.7347520880722634e-21,2998.827160493827,5310.141915623697,5075.361111111111,3929.180555555556,6435.832818930041,3.583482702642005e-15,3822.3744855967084,0.02465529930327374
ATS0Z,6607.757125154894,5942.0,4962.0,7897.0,1.605632762340822e-22,4336.0,7299.570164348926,7058.0,5399.0,8675.0,3.832144869853303e-15,4018.0,0.0017983092152981913
ATS1Z,7055.152416356877,6454.0,5357.0,8509.5,5.551097310382022e-22,4704.0,7734.6257901390645,7475.0,5752.0,9318.5,2.619671780212913e-14,4282.0,0.0052872478145345085
ATS2Z,10235.443618339528,9391.0,7749.0,12362.5,7.435099481192716e-22,6938.0,11246.34007585335,10887.0,8356.5,13591.5,4.20533898950295e-14,6229.0,0.004446154349034454
ATS3Z,12294.156133828996,11218.0,9307.5,14651.5,6.698297839660077e-22,8172.0,13560.360303413401,13066.0,10133.5,16212.0,2.1080045879576383e-14,7581.0,0.002158665016789879
ATS4Z,13637.59727385378,12343.0,10244.0,16233.0,7.019523770258737e-22,8861.0,15072.767383059418,14429.0,11224.0,18056.5,1.0057356756242867e-14,8418.0,0.001484294700840755
ATS5Z,15773.82156133829,14103.0,11834.0,18890.0,3.4667894376024155e-22,13905.0,17397.36915297092,16671.0,12762.0,20853.5,2.8660259504074116e-15,9880.0,0.0034810613350882533
ATS6Z,16557.429987608426,14854.0,12324.0,20101.0,1.4648481311451902e-21,10639.0,18241.059418457648,17633.0,13465.5,21953.5,2.163635753370761e-14,10424.0,0.002804997349995131
ATS7Z,17808.089219330854,16050.0,13295.0,21593.0,8.050932531659748e-21,15845.0,19661.978508217446,19226.0,14614.0,23642.5,2.686865681965589e-13,10086.0,0.002047356533093633
ATS8Z,19418.610904584883,17507.0,14502.0,23570.5,6.4297007349166415e-21,13396.0,21332.11630847029,21002.0,15806.5,25784.0,1.9866335489127885e-13,10876.0,0.015084239937147732
ATS0m,25971.68170738909,23393.510212999998,19450.883890999998,31098.24383899999,1.6328197824359842e-22,16998.085067999997,28703.88529978887,27791.318114999995,21200.388688,34168.23473849999,3.615993264017757e-15,16195.031997999995,0.0016216435871244442
ATS1m,26213.83293007682,24047.652452,19832.027183500006,31655.453190999986,6.482263935012409e-22,17329.709999999992,28764.733288113777,27748.013856999994,21346.302290999996,34749.7625845,3.3902090900455916e-14,15773.736690000003,0.005093696445061234
ATS2m,37122.51591721437,33996.438220000004,27971.179525,45052.352592999974,8.814381685625119e-22,29811.480943000002,40851.29680024778,39481.16233499998,30265.358364000003,49466.18216099997,5.869748027194686e-14,23150.656504,0.004888129386893147
ATS3m,43353.86088982032,39679.63403100001,32952.275433,51955.971774499994,8.797192651585166e-22,38125.77506099999,47893.54712492793,45710.303695999995,35740.367077,57376.83785199998,2.7788070525602655e-14,27215.6024,0.0016155192037676492
ATS4m,48091.34893547955,43398.187214000005,36122.29573599999,57321.8750245,7.138301046929397e-22,42529.00583700001,53262.82888766244,50966.645182999986,39524.53886199999,63760.420705,6.883033039297309e-15,29654.842901999993,0.0011237558529161053
ATS5m,56593.343603284986,50535.349738,42220.71160699999,67814.85970249996,2.9203793151790387e-22,46694.20745399999,62505.41487359288,59501.99671499998,45805.84166649998,74942.10791599998,2.148208857215148e-15,37099.181362999996,0.003435556721849214
ATS6m,58473.78581719453,52493.627047999995,43486.672646499996,71276.0622795,2.1713396439074766e-21,48896.27874099997,64465.12055988369,62663.27099399998,47358.59879149999,77883.71869999997,3.728165795175886e-14,34161.145286,0.0026245529704923666
ATS7m,62384.54789963072,56742.09902300001,46519.727033999996,75679.76249449998,1.194613034430812e-20,55021.89826199999,68967.8064231302,67605.21179699992,50753.559524,82982.061323,4.765539739792637e-13,34609.54342299999,0.0022012396063084737
ATS8m,68329.84057581164,61393.50009999998,50680.63394449999,83563.63226449999,6.4735697902609675e-21,46513.62416300001,75107.30486810113,74156.99102800002,54989.235852,91019.79664399999,2.7079955645510804e-13,37710.37442800001,0.022862412425716003
ATS0v,58556.861278031174,53565.72253920105,44812.35895156012,70031.62489305933,6.539161934897464e-22,39964.05260836253,64162.76163452774,62354.00866576216,48146.11836306668,76625.25408599703,1.3886999868104907e-14,36184.56123950659,0.00484337039145621
ATS1v,74235.3086009678,68099.67965444551,56957.79105508985,88826.5214292722,9.84268299327484e-22,50842.29661469772,81199.36927417589,79384.29342145917,61259.759167248965,97000.85725735294,1.4369779598249295e-14,47785.728642830094,0.004476843430156938
ATS2v,106751.65831154976,98068.33836117723,81745.67153959943,127910.49875979274,1.9530078118572842e-21,73373.63623788094,116914.1507355828,114498.00519212008,88361.20171947009,139733.23507651716,3.5133706247563326e-14,65685.01461897559,0.003452293611313314
ATS3v,128372.03156235647,118190.87106839012,98401.53436446945,152604.41502117607,1.624395417083877e-21,96742.44844745516,140841.56824184736,137452.60512742706,106419.61750543532,168239.5888748996,3.046106445705862e-14,79756.94874858158,0.003071921903048517
ATS4v,140446.70353210607,128775.21801611275,106865.2969397732,167481.16415111703,1.6583363997608406e-21,95132.60365373461,154039.1187421258,149721.27249800964,116306.2537503895,184575.13819793082,2.6915615739948422e-14,86857.87334295882,0.003106663672761485
ATS5v,152338.9208643909,138247.62237794034,115068.20367109476,182949.99672944227,1.2272611828829718e-21,125066.80625214132,167171.6104206622,162965.31679960576,125507.83116527251,200464.5725065776,1.0341688906111426e-14,94458.33580742923,0.0030058829756177963
ATS6v,168042.0163623019,152348.6075798238,126327.77519086782,201892.55602843795,2.6545886548900493e-21,111491.73009289983,184536.14502846784,180560.22907783766,139084.23919732485,221199.93570240334,2.0298512372004136e-14,108086.89239441375,0.0024660948266895565
ATS7v,185581.88317708508,169344.9749096131,138842.17553585517,224860.96114874663,8.944126654193321e-21,168884.67293440324,203677.96836485164,200482.03691893705,154878.83104468964,244592.31446960435,6.286967834045815e-14,108595.79414916517,0.002822143290524013
ATS8v,198690.0421910407,182559.93420276008,150006.19045825646,238079.97389078623,1.3518151915596638e-20,133779.02770101794,217306.94485451764,216310.43479356752,164256.03783877005,260383.9358350584,6.026705013614206e-14,113558.07038768957,0.008048923066296725
ATS0se,2429.489062633209,2215.0793519999997,1866.5652219999997,2852.868388499999,3.842209171211204e-22,1707.0185119999999,2641.451796939317,2564.4879659999997,1989.7187299999996,3128.504032,1.2411301399388363e-15,1568.8898039999997,0.012882368514530543
ATS1se,2468.9841597149943,2247.326388,1896.1256439999993,2923.047738000002,5.24172375865569e-22,1728.0038079999993,2685.570670546145,2613.704160000001,2050.726795999999,3163.8307920000025,3.020419906733316e-15,1573.3405839999994,0.009296079215498227
ATS2se,4388.782076612144,4020.4459720000004,3386.0435499999994,5177.994237000002,7.3335310816174025e-22,3001.0710279999994,4771.342672209862,4630.185551999999,3627.6145289999995,5636.860974000001,1.8247412038410047e-15,2843.698687999999,0.005213841609296335
ATS3se,6358.3669309244115,5810.854868000001,4920.060712,7479.908511,7.613575470420779e-22,4510.1883880000005,6917.093245714286,6731.889488,5239.098803999999,8204.964453,1.8274791561791242e-15,4107.6828160000005,0.005054362586086326
ATS4se,7229.029351144982,6633.535620000001,5595.997425999998,8459.925458000003,1.4827918027516389e-21,5559.08496,7893.243903542352,7633.923263999999,6006.558524,9321.95541,1.9529074216963386e-15,5056.685588000001,0.010164986024598623
ATS5se,7525.142719425033,6911.339295999999,5727.325987999999,8873.368086000002,1.5214300336805904e-21,5098.291888000001,8207.807441916562,7966.345319999999,6198.555988000001,9729.702604000002,7.31338113078214e-15,4686.4626240000025,0.006822468117654248
ATS6se,8267.57075838166,7557.528096,6332.965226,9728.686764,8.73064036789145e-22,6643.411340000003,9035.290280510746,8855.796884,6799.981592,10770.178702,1.8241850190212617e-15,5646.271336,0.005199901288946326
ATS7se,9263.349558861215,8440.530557999995,6965.544679999999,11052.999116,3.999071637464806e-21,8576.917680000006,10115.979967491783,9878.048439999999,7565.863104,12102.191285000004,7.674840701958776e-15,5716.833292000001,0.004835691857001915
ATS8se,10147.36929566295,9315.044736000002,7652.465483999999,12136.860685999998,1.701186218288772e-20,6457.606072000002,11070.544517206068,10807.984867999998,8278.631868,13256.728462,1.632789849793269e-14,6132.5247759999975,0.005962664828717852
ATS0pe,1956.5311444857498,1778.2698999999998,1497.2818000000002,2308.5567,3.296474370232817e-22,1330.3508000000002,2127.8395566371682,2062.9338,1602.0936000000002,2522.0799,1.3481564640411002e-15,1257.4525000000003,0.013861751903604955
ATS1pe,2055.5602013630737,1870.8940000000016,1575.8245000000006,2442.3457499999995,4.98465557721997e-22,1564.9645000000005,2236.089225031606,2176.9384999999997,1705.7655000000009,2642.544249999999,3.382672844833428e-15,1305.466000000001,0.009676655582452193
ATS2pe,3581.8826068153667,3275.1601,2755.5819500000002,4238.186600000004,6.5331732012517705e-22,2734.9341000000004,3896.043985840709,3776.043000000001,2976.505400000001,4603.58755,2.1985617585367672e-15,2409.2438,0.005372924289263041
ATS3pe,5118.488980669144,4669.434299999999,3954.2469,6031.647049999999,6.673567715946637e-22,3613.6836,5572.841040960809,5413.4295999999995,4215.61175,6614.518599999999,2.009358690287367e-15,3450.0797999999995,0.005406499277279796
ATS4pe,5801.066812887236,5311.4258999999975,4472.72575,6800.103899999996,1.2778642365524953e-21,5311.4258999999975,6335.509764222503,6134.047499999998,4825.41575,7484.235449999998,2.220587470036434e-15,3821.7909000000013,0.009582716651164397
ATS5pe,6090.931245972738,5569.009800000001,4633.1371,7194.14015,1.3640647385188232e-21,4119.231399999999,6646.642481036662,6455.1006,5004.1859,7889.325500000003,6.336705328931327e-15,3801.450099999999,0.006750423387057155
ATS6pe,6686.235310656755,6105.8965000000035,5103.1889,7883.266250000002,8.734082238523116e-22,4447.418700000001,7307.957159797726,7150.5731000000005,5489.6077000000005,8700.962049999998,1.829439534786302e-15,4321.1612,0.0053950131118363515
ATS7pe,7462.189076332095,6789.317700000003,5613.172350000002,8929.75945,3.982038410386076e-21,6248.311100000003,8148.411985967132,7966.8079000000025,6085.051800000003,9754.280400000001,7.935407834394604e-15,4585.649100000001,0.004882016985932873
ATS8pe,8155.5820978934335,7470.197800000001,6145.8878,9778.311300000001,1.44256359149686e-20,5052.053900000001,8896.325980404552,8700.590700000008,6665.853750000001,10668.976349999997,1.647800841639274e-14,4906.669,0.006500038705998817
ATS0are,1945.5572004956632,1768.7227000000003,1490.5942500000003,2295.8984,3.14976701992673e-22,1358.2933000000003,2115.411910493047,2048.7127,1590.6523000000002,2505.8467000000005,1.244365265035919e-15,1251.2786,0.014709677990247454
ATS1are,2019.0665452292442,1837.936,1547.1625,2398.0205000000005,4.833543894342584e-22,1378.317,2195.830407079646,2139.556,1674.9249999999997,2595.5300000000007,3.3121423751056085e-15,1333.964,0.01014139225030955
ATS2are,3532.494241635688,3233.424900000002,2716.4015000000004,4176.38855,6.2469048309405615e-22,2697.6159,3841.8141457648553,3724.8283,2928.2647,4539.4535,2.0918888771515408e-15,2277.863000000001,0.005573589621169039
ATS3are,5075.050840024784,4630.837100000001,3919.8073000000004,5974.259600000001,6.373010359155885e-22,3582.463800000001,5524.761912768649,5363.5248,4174.4578,6562.169400000002,1.9066991686513553e-15,3273.139800000001,0.005621759586447327
ATS4are,5760.527055266418,5273.397999999999,4440.697,6748.74195,1.2645810319587478e-21,4036.1510000000003,6290.553658786346,6092.6437,4785.852000000001,7431.8799,2.0898686274227473e-15,3799.4999999999995,0.009957153495764344
ATS5are,6053.1038598513005,5535.7058,4602.161,7146.9995,1.364064313665881e-21,5582.4268999999995,6604.657835145385,6412.758500000001,4973.132750000001,7836.724849999999,6.084399432649661e-15,3779.2960000000003,0.006927512494843545
ATS6are,6640.385174597275,6066.322100000001,5071.4964,7828.0441500000015,8.4325278305702665e-22,6093.611000000002,7256.7145155499375,7100.3206,5454.59685,8642.492100000001,1.674238110303867e-15,4299.0568,0.005652464821689404
ATS7are,7405.636997026023,6733.6905,5571.045699999999,8860.388600000006,3.877892884185869e-21,6047.042499999998,8084.581162831859,7904.111399999999,6035.131399999998,9674.71065,7.300394203038274e-15,4811.8959,0.005128919276631003
ATS8are,8094.2463732342,7416.9857,6103.27065,9692.122649999998,1.4224406964374614e-20,5005.4427000000005,8827.805649936789,8635.393900000001,6608.84325,10593.210149999999,1.5862800531874145e-14,4869.681999999998,0.006770368520754375
ATS0p,399.6258977692471,365.970274535219,307.298060154615,475.6859629913015,8.127279879639317e-22,271.881314247937,439.1658842474105,427.152297300085,335.185678298256,524.6569673755635,2.984089269074445e-14,258.185186772182,0.0020739320454722866
ATS1p,514.1887753575735,471.3554310779999,396.18061461700006,611.3197054869995,1.1968546049394962e-21,359.01664958599986,562.7147786805863,548.0820486539999,428.48486405799986,666.6056562679996,1.2340579567329203e-14,335.0060874480001,0.00280587215882709
